model_name,battery_power,battery_capacity,wind_turbines,wind_capacity,solar_panels,solar_capacity,total_demand_capacity,excess_capacity,shortcoming_capacity,demand_met_by_renewables_capacity
P10_C10_T12_S1000,10,10,12,27.599999999999998,1000,4.0,44.82345,51.87499140045859,8.366039206814957,81.33557500189085
P10_C10_T12_S2000,10,10,12,27.599999999999998,2000,8.0,44.82345,55.83286125053808,6.963962108709258,84.46357406957907
P10_C10_T12_S4000,10,10,12,27.599999999999998,4000,16.0,44.82345,65.04692481487588,5.481686350253614,87.77049435004754
P10_C10_T12_S6000,10,10,12,27.599999999999998,6000,24.0,44.82345,75.33398063705654,5.042684346001112,88.7498968820983
P10_C10_T12_S8000,10,10,12,27.599999999999998,8000,32.0,44.82345,85.85938608095131,4.83520440447733,89.21277946147089
P10_C10_T15_S0,10,10,15,34.5,0,0.0,44.82345,67.97151016062148,9.048879599528846,79.81217510136135
P10_C10_T15_S1000,10,10,15,34.5,1000,4.0,44.82345,71.78414231462997,7.4947065951328975,83.27949634592406
P10_C10_T15_S2000,10,10,15,34.5,2000,8.0,44.82345,75.8870762870605,6.235870732733889,86.08792778616129
P10_C10_T15_S4000,10,10,15,34.5,4000,16.0,44.82345,85.24326143619786,4.889446038677101,89.09176772721176
P10_C10_T15_S6000,10,10,15,34.5,6000,24.0,44.82345,95.57509424915894,4.493222905168119,89.97573166463509
P10_C10_T15_S8000,10,10,15,34.5,8000,32.0,44.82345,106.11857096764575,4.303513551813716,90.39896850462489
P10_C25_T0_S0,10,25,0,0.0,0,0.0,44.82345,0.0,44.82345,0.0
P10_C25_T0_S1000,10,25,0,0.0,1000,4.0,44.82345,0.0,39.45806373130009,11.970043066073465
P10_C25_T0_S2000,10,25,0,0.0,2000,8.0,44.82345,0.0,34.09487406296351,23.935185571473173
P10_C25_T0_S4000,10,25,0,0.0,4000,16.0,44.82345,0.04862400075927519,23.952623415756214,46.562294031904706
P10_C25_T0_S6000,10,25,0,0.0,6000,24.0,44.82345,5.905614646690512,19.406899055639855,56.70369180498187
P10_C25_T0_S8000,10,25,0,0.0,8000,32.0,44.82345,15.316150989019608,18.13226600381643,59.547366381176744
P10_C25_T2_S0,10,25,2,4.6,0,0.0,44.82345,0.0,30.967088954857047,30.9131962067689
P10_C25_T2_S1000,10,25,2,4.6,1000,4.0,44.82345,0.0,25.61424131556215,42.85526590308834
P10_C25_T2_S2000,10,25,2,4.6,2000,8.0,44.82345,0.0,20.389565641666742,54.511387138502855
P10_C25_T2_S4000,10,25,2,4.6,4000,16.0,44.82345,2.115368235521065,12.351156443492437,72.44487775150633
P10_C25_T2_S6000,10,25,2,4.6,6000,24.0,44.82345,10.530180040973423,10.172001320425073,77.30651852897296
P10_C25_T2_S8000,10,25,2,4.6,8000,32.0,44.82345,20.407294578019922,9.35011755996348,79.14012071814311
P10_C25_T5_S0,10,25,5,11.5,0,0.0,44.82345,4.802581923725788,15.290858110779135,65.88647658585153
P10_C25_T5_S1000,10,25,5,11.5,1000,4.0,44.82345,7.0259719038615875,12.160314511235997,72.87064134680396
P10_C25_T5_S2000,10,25,5,11.5,2000,8.0,44.82345,9.878126949245967,9.67947026937397,78.4053430305477
P10_C25_T5_S4000,10,25,5,11.5,4000,16.0,44.82345,17.202096991241447,6.443372181113613,85.62499722552901
P10_C25_T5_S6000,10,25,5,11.5,6000,24.0,44.82345,26.831909171062087,5.3951520430044715,87.9635502331827
P10_C25_T5_S8000,10,25,5,11.5,8000,32.0,44.82345,37.18071613323357,5.019200561070087,88.80228862108989
P10_C25_T7_S0,10,25,7,16.099999999999998,0,0.0,44.82345,15.44352899510662,12.101504291343224,73.00184548190016
P10_C25_T7_S1000,10,25,7,16.099999999999998,1000,4.0,44.82345,18.49836251885422,9.77592513412791,78.19015463082847
P10_C25_T7_S2000,10,25,7,16.099999999999998,2000,8.0,44.82345,21.90899884649384,7.838721727969862,82.5120071570353
P10_C25_T7_S4000,10,25,7,16.099999999999998,4000,16.0,44.82345,29.94052565578335,5.263658763379282,88.25690846336174
P10_C25_T7_S6000,10,25,7,16.099999999999998,6000,24.0,44.82345,39.829104223944526,4.457241397299162,90.056005512072
P10_C25_T7_S8000,10,25,7,16.099999999999998,8000,32.0,44.82345,50.23439227324087,4.136454135186401,90.77167390018751
P10_C25_T10_S0,10,25,10,23.0,0,0.0,44.82345,33.86496205894627,9.733455921114611,78.2849023867761
P10_C25_T10_S1000,10,25,10,23.0,1000,4.0,44.82345,37.37194703783392,7.864173863605601,82.45522407667059
P10_C25_T10_S2000,10,25,10,23.0,2000,8.0,44.82345,41.17198229390813,6.3070993222414335,85.92901857790636
P10_C25_T10_S4000,10,25,10,23.0,4000,16.0,44.82345,49.747713861605014,4.242675581632602,90.5346965000851
P10_C25_T10_S6000,10,25,10,23.0,6000,24.0,44.82345,59.80298743748108,3.59257090443693,91.9850638350307
P10_C25_T10_S8000,10,25,10,23.0,8000,32.0,44.82345,70.25907537183372,3.3213477880853826,92.59015584903577
P10_C25_T12_S0,10,25,12,27.599999999999998,0,0.0,44.82345,46.721741861922965,8.734300574053531,80.51399306824099
P10_C25_T12_S1000,10,25,12,27.599999999999998,1000,4.0,44.82345,50.418588717072915,7.055186553162212,84.26005460721517
P10_C25_T12_S2000,10,25,12,27.599999999999998,2000,8.0,44.82345,54.35968182835245,5.638058021512833,87.42163304807454
P10_C25_T12_S4000,10,25,12,27.599999999999998,4000,16.0,44.82345,63.153242105327024,3.7773591689234274,91.5728058216772
P10_C25_T12_S6000,10,25,12,27.599999999999998,6000,24.0,44.82345,73.28124720082857,3.195308508436859,92.87134634117442
P10_C25_T12_S8000,10,25,12,27.599999999999998,8000,32.0,44.82345,83.77720612481498,2.961247067337812,93.39353158371831
P10_C25_T15_S0,10,25,15,34.5,0,0.0,44.82345,66.40539872099687,7.639607393659885,82.95622627517541
P10_C25_T15_S1000,10,25,15,34.5,1000,4.0,44.82345,70.28201455173469,6.142991379797392,86.29513930811352
P10_C25_T15_S2000,10,25,15,34.5,2000,8.0,44.82345,74.3802700202858,4.880035629343984,89.11276211593712
P10_C25_T15_S4000,10,25,15,34.5,4000,16.0,44.82345,83.42237986319287,3.2506288420509857,92.74792805540184
P10_C25_T15_S6000,10,25,15,34.5,6000,24.0,44.82345,93.6394534809556,2.751274397516958,93.86197537780568
P10_C25_T15_S8000,10,25,15,34.5,8000,32.0,44.82345,104.17590516282912,2.555237167948408,94.29932955194566
P10_C50_T0_S0,10,50,0,0.0,0,0.0,44.82345,0.0,44.82345,0.0
P10_C50_T0_S1000,10,50,0,0.0,1000,4.0,44.82345,0.0,39.45806373130009,11.970043066073465
P10_C50_T0_S2000,10,50,0,0.0,2000,8.0,44.82345,0.0,34.09487406296351,23.935185571473173
P10_C50_T0_S4000,10,50,0,0.0,4000,16.0,44.82345,0.0,23.908836749089552,46.659980994123494
P10_C50_T0_S6000,10,50,0,0.0,6000,24.0,44.82345,0.38641717112612023,14.44006049606121,67.7845848633668
P10_C50_T0_S8000,10,50,0,0.0,8000,32.0,44.82345,7.553562558900125,11.146337456276749,75.13279888924937
P10_C50_T2_S0,10,50,2,4.6,0,0.0,44.82345,0.0,30.967088954857047,30.9131962067689
P10_C50_T2_S1000,10,50,2,4.6,1000,4.0,44.82345,0.0,25.61424131556215,42.85526590308834
P10_C50_T2_S2000,10,50,2,4.6,2000,8.0,44.82345,0.0,20.389565641666742,54.511387138502855
P10_C50_T2_S4000,10,50,2,4.6,4000,16.0,44.82345,0.5851679729592458,10.974303710986652,75.51660188810399
P10_C50_T2_S6000,10,50,2,4.6,6000,24.0,44.82345,5.711216916423793,5.835286168252058,86.9816219674031
P10_C50_T2_S8000,10,50,2,4.6,8000,32.0,44.82345,15.022879018114095,4.504326502363931,89.9509598159804
P10_C50_T5_S0,10,50,5,11.5,0,0.0,44.82345,3.5192059289827715,14.136279418899425,68.46231287663171
P10_C50_T5_S1000,10,50,5,11.5,1000,4.0,44.82345,5.565457377771369,10.846043777097966,75.80274660451623
P10_C50_T5_S2000,10,50,5,11.5,2000,8.0,44.82345,8.245868814876465,8.210842530531925,81.68181491935154
P10_C50_T5_S4000,10,50,5,11.5,4000,16.0,44.82345,15.226743508304107,4.665869975637633,89.59056035258858
P10_C50_T5_S6000,10,50,5,11.5,6000,24.0,44.82345,24.034602745009973,2.8780993144034146,93.5790321485664
P10_C50_T5_S8000,10,50,5,11.5,8000,32.0,44.82345,34.20691955459733,2.3430358017478334,94.77274551211958
P10_C50_T7_S0,10,50,7,16.099999999999998,0,0.0,44.82345,13.592804871092202,10.436349465157678,76.7167644053332
P10_C50_T7_S1000,10,50,7,16.099999999999998,1000,4.0,44.82345,16.718732842696873,8.175073306080419,81.76161516777397
P10_C50_T7_S2000,10,50,7,16.099999999999998,2000,8.0,44.82345,20.150302697285415,6.256194659128025,86.04258561282538
P10_C50_T7_S4000,10,50,7,16.099999999999998,4000,16.0,44.82345,28.062547427940256,3.574055323388073,92.02637163496323
P10_C50_T7_S6000,10,50,7,16.099999999999998,6000,24.0,44.82345,37.475429537564615,2.339537001121079,94.78055124913169
P10_C50_T7_S8000,10,50,7,16.099999999999998,8000,32.0,44.82345,47.75464475118828,1.905266139427379,95.74939872002851
P10_C50_T10_S0,10,50,10,23.0,0,0.0,44.82345,31.934719674980737,7.996608555802696,82.15976557850256
P10_C50_T10_S1000,10,50,10,23.0,1000,4.0,44.82345,35.50759541090754,6.1864107176748915,86.19827184726991
P10_C50_T10_S2000,10,50,10,23.0,2000,8.0,44.82345,39.3764191919941,4.691435426335448,89.53352446914406
P10_C50_T10_S4000,10,50,10,23.0,4000,16.0,44.82345,48.046336004216435,2.7116168667494795,93.95045034072683
P10_C50_T10_S6000,10,50,10,23.0,6000,24.0,44.82345,57.82700915642758,1.8146249546076263,95.95161694468493
P10_C50_T10_S8000,10,50,10,23.0,8000,32.0,44.82345,68.20295213748763,1.471273750317437,96.71762492553019
P10_C50_T12_S0,10,50,12,27.599999999999998,0,0.0,44.82345,44.78296066285661,6.989559370603499,84.40646721614803
P10_C50_T12_S1000,10,50,12,27.599999999999998,1000,4.0,44.82345,48.564938981568034,5.387366182461209,87.98092029403982
P10_C50_T12_S2000,10,50,12,27.599999999999998,2000,8.0,44.82345,52.62668475086976,4.078660965290955,90.90060902208342
P10_C50_T12_S4000,10,50,12,27.599999999999998,4000,16.0,44.82345,61.56823691710959,2.3511379256433274,94.75466987560456
P10_C50_T12_S6000,10,50,12,27.599999999999998,6000,24.0,44.82345,71.47880841470811,1.5736837160278465,96.48915084397153
P10_C50_T12_S8000,10,50,12,27.599999999999998,8000,32.0,44.82345,81.93520850311256,1.303886360117607,97.09106202196037
P10_C50_T15_S0,10,50,15,34.5,0,0.0,44.82345,64.49366181150408,5.919533929781502,86.79366731079044
P10_C50_T15_S1000,10,50,15,34.5,1000,4.0,44.82345,68.50615048141049,4.5450049868115405,89.86020713083991
P10_C50_T15_S2000,10,50,15,34.5,2000,8.0,44.82345,72.76450412534618,3.426083925134218,92.35649213718663
P10_C50_T15_S4000,10,50,15,34.5,4000,16.0,44.82345,81.94745787702632,1.9236655095423452,95.70835018379364
P10_C50_T15_S6000,10,50,15,34.5,6000,24.0,44.82345,92.02855315365184,1.3020697172579132,97.09511490691163
P10_C50_T15_S8000,10,50,15,34.5,8000,32.0,44.82345,102.55643297992674,1.0982009410573985,97.5499410664342
P10_C100_T0_S0,10,100,0,0.0,0,0.0,44.82345,0.0,44.82345,0.0
P10_C100_T0_S1000,10,100,0,0.0,1000,4.0,44.82345,0.0,39.45806373130009,11.970043066073465
P10_C100_T0_S2000,10,100,0,0.0,2000,8.0,44.82345,0.0,34.09487406296351,23.935185571473173
P10_C100_T0_S4000,10,100,0,0.0,4000,16.0,44.82345,0.0,23.908836749089552,46.659980994123494
P10_C100_T0_S6000,10,100,0,0.0,6000,24.0,44.82345,0.10237652696520619,14.184470769304147,68.35479917475307
P10_C100_T0_S8000,10,100,0,0.0,8000,32.0,44.82345,3.8815057617836093,7.841807284708375,82.50512335684029
P10_C100_T2_S0,10,100,2,4.6,0,0.0,44.82345,0.0,30.967088954857047,30.9131962067689
P10_C100_T2_S1000,10,100,2,4.6,1000,4.0,44.82345,0.0,25.61424131556215,42.85526590308834
P10_C100_T2_S2000,10,100,2,4.6,2000,8.0,44.82345,0.0,20.389565641666742,54.511387138502855
P10_C100_T2_S4000,10,100,2,4.6,4000,16.0,44.82345,0.10055434472493653,10.538208488371959,76.48951946275452
P10_C100_T2_S6000,10,100,2,4.6,6000,24.0,44.82345,3.8040016554018634,4.1189174220046025,90.81079787030092
P10_C100_T2_S8000,10,100,2,4.6,8000,32.0,44.82345,12.68000768549114,2.3957269881099195,94.65519278835092
P10_C100_T5_S0,10,100,5,11.5,0,0.0,44.82345,2.2274796754563653,12.973765170432252,71.05585319641337
P10_C100_T5_S1000,10,100,5,11.5,1000,4.0,44.82345,3.939092328356266,9.382228952165542,79.06848100232013
P10_C100_T5_S2000,10,100,5,11.5,2000,8.0,44.82345,6.268676056775099,6.43088956443308,85.65284563229051
P10_C100_T5_S4000,10,100,5,11.5,4000,16.0,44.82345,13.375595572728377,2.9997662007790344,93.30759635686447
P10_C100_T5_S6000,10,100,5,11.5,6000,24.0,44.82345,22.620217922318663,1.605170098304302,96.41890550971802
P10_C100_T5_S8000,10,100,5,11.5,8000,32.0,44.82345,32.97624421995423,1.2353363488676197,97.24399538886985
P10_C100_T7_S0,10,100,7,16.099999999999998,0,0.0,44.82345,11.131210033287617,8.221263621243022,81.65856572565696
P10_C100_T7_S1000,10,100,7,16.099999999999998,1000,4.0,44.82345,14.336412657056831,6.031322226564601,86.54427040630608
P10_C100_T7_S2000,10,100,7,16.099999999999998,2000,8.0,44.82345,17.9345382166222,4.262282295827852,90.49095440929278
P10_C100_T7_S4000,10,100,7,16.099999999999998,4000,16.0,44.82345,26.45566912773796,2.1278645120052575,95.25278729770855
P10_C100_T7_S6000,10,100,7,16.099999999999998,6000,24.0,44.82345,36.32274635071322,1.3021736161622666,97.09488311104508
P10_C100_T7_S8000,10,100,7,16.099999999999998,8000,32.0,44.82345,46.77288206327731,1.0217884250968754,97.7204154854281
P10_C100_T10_S0,10,100,10,23.0,0,0.0,44.82345,29.399585415859327,5.715201917802868,87.24952693779066
P10_C100_T10_S1000,10,100,10,23.0,1000,4.0,44.82345,33.22677992061038,4.133884971053693,90.7774056413469
P10_C100_T10_S2000,10,100,10,23.0,2000,8.0,44.82345,37.41020895547844,2.92204832420802,93.48098300285226
